season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2023,9,Hamilton,Tufts,36.0,34.0,False,NESCAC,NESCAC
2023,9,St. Francis (PA),Merrimack,28.0,21.0,False,NEC,NEC
2023,9,Wesleyan University (CT),Amherst,34.0,7.0,False,NESCAC,NESCAC
2023,9,Maryville College (TN),Belhaven,20.0,7.0,False,USA South,USA South
2023,9,Fordham,Holy Cross,47.0,49.0,False,Patriot,Patriot
2023,9,Worcester Polytechnic Institute,Salve Regina,24.0,27.0,False,NEWMAC,Commonwealth Coast
2023,9,Northern Michigan,Wayne State (MI),17.0,41.0,False,GLIAC,GLIAC
2023,9,Minnesota State Moorhead,Winona State,20.0,17.0,False,Northern Sun,Northern Sun
2023,9,New Haven,Assumption,25.0,14.0,False,Northeast 10,Northeast 10
2023,9,Illinois State,Northern Iowa,21.0,24.0,False,MVFC,MVFC
2023,9,Central State (OH),Lane College,17.0,14.0,False,SIAC,SIAC
2023,9,Eastern Michigan,Western Michigan,21.0,45.0,False,Mid-American,Mid-American
2023,9,Moravian,Susquehanna,14.0,33.0,False,Landmark Conference,Landmark Conference
2023,9,Misericordia,Albright,38.0,9.0,False,Mid Atlantic,Mid Atlantic
2023,9,Albany State GA,Miles College,48.0,7.0,False,SIAC,SIAC
2023,9,Lycoming,Juniata College,56.0,10.0,False,Landmark Conference,Landmark Conference
2023,9,Ashland,Thomas More College,28.0,20.0,False,Great Midwest Athletic,
2023,9,Alma,Olivet College,41.0,20.0,False,Michigan,Michigan
2023,9,Butler,Valparaiso,17.0,7.0,False,Pioneer,Pioneer
2023,9,Rhode Island,New Hampshire,34.0,28.0,False,CAA,CAA
2023,9,Franklin & Marshall,Kean,40.0,14.0,False,Centennial,New Jersey
2023,9,Colgate,Bucknell,34.0,49.0,False,Patriot,Patriot
2023,9,Ursinus,McDaniel College,49.0,6.0,False,Centennial,Centennial
2023,9,Maine,UAlbany,21.0,37.0,False,CAA,CAA
2023,9,Wabash College,Wittenberg,52.0,20.0,False,North Coast,North Coast
2023,9,Allegheny,Thiel,27.0,3.0,False,Presidents',Presidents'
2023,9,Mars Hill,UVA Wise,49.0,18.0,False,South Atlantic,South Atlantic
2023,9,Grove City College,Bethany (WV),56.0,14.0,False,Presidents',Presidents'
2023,9,Bates,Williams,,,False,NESCAC,NESCAC
2023,9,Bowdoin,Trinity (CT),,,False,NESCAC,NESCAC
2023,9,Kalamazoo,Hope College,17.0,63.0,False,Michigan,Michigan
2023,9,Fairmont State,West Virginia State,21.0,20.0,False,Mountain East,Mountain East
2023,9,Bowie State,Elizabeth City State,19.0,7.0,False,CIAA,CIAA
2023,9,Shaw,Fayetteville State,14.0,21.0,False,CIAA,CIAA
2023,9,Ithaca College,Buffalo State,62.0,0.0,False,Liberty League,Liberty League
2023,9,Gettysburg,Dickinson (PA),25.0,28.0,False,Centennial,Centennial
2023,9,Concordia University St Paul,Northern State,20.0,14.0,False,Northern Sun,Northern Sun
2023,9,ERSKINE,Greeneville,14.0,52.0,False,South Atlantic,South Atlantic
2023,9,Drake,Stetson,33.0,7.0,False,Pioneer,Pioneer
2023,9,Alderson-Broaddus,West Liberty,0.0,0.0,False,Mountain East,Mountain East
2023,9,William & Mary,Monmouth,31.0,28.0,False,CAA,CAA
2023,9,Towson,Delaware,13.0,51.0,False,CAA,CAA
2023,9,Post University,Southern Connecticut State,14.0,35.0,True,Independent DII,Northeast 10
2023,9,Cornell,Princeton,3.0,14.0,False,Ivy,Ivy
2023,9,Wayne State (NE),Augustana University (SD),14.0,12.0,False,Northern Sun,Northern Sun
